battery_order,policy,policy_readable,barcode,cycle_life,cycle_count
1,3_6C-80PER_3_6C,3.6C(80%)-3.6C,,1190.0,1850
2,3_6C-80PER_3_6C,3.6C(80%)-3.6C,,1179.0,2158
3,3_6C-80PER_3_6C,3.6C(80%)-3.6C,,1177.0,2235
4,4C-80PER_4C,4C(80%)-4C,,1226.0,1432
5,4C-80PER_4C,4C(80%)-4C,,1227.0,1571
6,4_4C-80PER_4_4C,4.4C(80%)-4.4C,,1074.0,1072
7,4_8C-80PER_4_8C,4.8C(80%)-4.8C,,636.0,634
8,4_8C-80PER_4_8C,4.8C(80%)-4.8C,,870.0,868
9,5_4C-40PER_3_6C,5.4C(40%)-3.6C,,1054.0,1052
10,5_4C-50PER_3C,5.4C(50%)-3C,,788.0,786
11,5_4C-60PER_3C,5.4C(60%)-3C,,880.0,878
12,5_4C-60PER_3C,5.4C(60%)-3C,,719.0,717
13,5_4C-60PER_3_6C,5.4C(60%)-3.6C,,862.0,860
14,5_4C-60PER_3_6C,5.4C(60%)-3.6C,,857.0,855
15,5_4C-70PER_3C,5.4C(70%)-3C,,691.0,689
16,5_4C-70PER_3C,5.4C(70%)-3C,,788.0,786
17,5_4C-80PER_5_4C,5.4C(80%)-5.4C,,534.0,532
18,5_4C-80PER_5_4C,5.4C(80%)-5.4C,,559.0,557
19,6C-30PER_3_6C,6C(30%)-3.6C,,1014.0,1012
20,6C-40PER_3C,6C(40%)-3C,,1017.0,1015
21,6C-40PER_3C,6C(40%)-3C,,854.0,852
22,6C-40PER_3_6C,6C(40%)-3.6C,,870.0,868
23,6C-40PER_3_6C,6C(40%)-3.6C,,842.0,840
24,6C-50PER_3C,6C(50%)-3C,,860.0,857
25,6C-50PER_3C,6C(50%)-3C,,917.0,915
26,6C-50PER_3_6C,6C(50%)-3.6C,,709.0,706
27,6C-50PER_3_6C,6C(50%)-3.6C,,876.0,874
28,6C-60PER_3C,6C(60%)-3C,,731.0,729
29,6C-60PER_3C,6C(60%)-3C,,757.0,755
30,7C-30PER_3_6C,7C(30%)-3.6C,,742.0,740
31,7C-30PER_3_6C,7C(30%)-3.6C,,703.0,700
32,7C-40PER_3C,7C(40%)-3C,,704.0,702
33,7C-40PER_3C,7C(40%)-3C,,648.0,646
34,7C-40PER_3_6C,7C(40%)-3.6C,,617.0,615
35,7C-40PER_3_6C,7C(40%)-3.6C,,625.0,623
36,8C-15PER_3_6C,8C(15%)-3.6C,,966.0,964
37,8C-15PER_3_6C,8C(15%)-3.6C,,1051.0,1049
38,8C-25PER_3_6C,8C(25%)-3.6C,,702.0,700
39,8C-25PER_3_6C,8C(25%)-3.6C,,651.0,649
40,8C-35PER_3_6C,8C(35%)-3.6C,,616.0,613
41,8C-35PER_3_6C,8C(35%)-3.6C,,599.0,596
42,1C_4PER_6C,1C(4%)-6C,,300.0,249
43,2C_10PER_6C,2C(10%)-6C,,148.0,149
44,2C_2PER_5C,2C(2%)-5C,,438.0,438
45,2C_7PER_5_5C,2C(7%)-5.5C,,335.0,335
46,3_6C_22PER_5_5C,3.6C(22%)-5.5C,,444.0,444
47,3_6C_2PER_4_85C,3.6C(2%)-4.85C,,480.0,480
48,3_6C_30PER_6C,3.6C(30%)-6C,,511.0,512
49,3_6C_9PER_5C,3.6C(9%)-5C,,561.0,561
50,4C_13PER_5C,4C(13%)-5C,,477.0,477
51,4C_31PER_5,4C(31%)-5,,458.0,459
52,4C_40PER_6C,4C(40%)-6C,,483.0,483
53,4C_4PER_4_85C,4C(4%)-4.85C,,485.0,485
54,4_4C_24PER_5C,4.4C(24%)-5C,,494.0,494
55,4_4C_47PER_5_5C,4.4C(47%)-5.5C,,487.0,487
56,4_4C_55PER_6C,4.4C(55%)-6C,,461.0,462
57,4_4C_8PER_4_85C,4.4C(8%)-4.85C,,502.0,502
58,4_65C_19PER_4_85C,4.65C(19%)-4.85C,,489.0,489
59,4_65C_44PER_5C,4.65C(44%)-5C,,513.0,513
60,4_65C_69PER_6C,4.65C(69%)-6C,,527.0,528
61,4_8C_80PER_4_8C,4.8C(80%)-4.8C,,495.0,496
62,4_8C_80PER_4_8C,4.8C(80%)-4.8C,,461.0,461
63,4_8C_80PER_4_8C,4.8C(80%)-4.8C,,471.0,472
64,4_9C_27PER_4_75C,4.9C(27%)-4.75C,,468.0,469
65,4_9C_61PER_4_5C,4.9C(61%)-4.5C,,509.0,512
66,4_9C_69PER_4_25C,4.9C(69%)-4.25C,,498.0,498
67,5_2C_10PER_4_75C,5.2C(10%)-4.75C,,481.0,481
68,5_2C_37PER_4_5C,5.2C(37%)-4.5C,,492.0,493
69,5_2C_50PER_4_25C,5.2C(50%)-4.25C,,519.0,519
70,5_2C_58PER_4C,5.2C(58%)-4C,,520.0,521
71,5_2C_66PER_3_5C,5.2C(66%)-3.5C,,499.0,500
72,5_2C_71PER_3C,5.2C(71%)-3C,,463.0,464
73,5_6C_25PER_4_5C,5.6C(25%)-4.5C,,535.0,535
74,5_6C_38PER_4_25C,5.6C(38%)-4.25C,,478.0,479
75,5_6C_47PER_4C,5.6C(47%)-4C,,465.0,465
76,5_6C_58PER_3_5C,5.6C(58%)-3.5C,,459.0,459
77,5_6C_5PER_4_75C,5.6C(5%)-4.75C,,499.0,498
78,5_6C_65PER_3C,5.6C(65%)-3C,,429.0,430
79,6C_20PER_4_5C,6C(20%)-4.5C,,466.0,466
80,6C_31PER_4_25C,6C(31%)-4.25C,,462.0,462
81,6C_40PER_4C,6C(40%)-4C,,457.0,458
82,6C_4PER_4_75C,6C(4%)-4.75C,,487.0,486
83,6C_52PER_3_5C,6C(52%)-3.5C,,429.0,431
84,6C_60PER_3C,6C(60%)-3C,,713.0,713
85,5_2C_58PER_4C,5.2C(58%)-4C,,477.0,489
86,5_6C_26PER_4_5C,5.6C(26%)-4.5C,,491.0,499
87,4_65C_44PER_5C,4.65C(44%)-5C,,499.0,509
88,4_65C_69PER_6C,4.65C(69%)-6C,,444.0,450
89,3_6C_30PER_6C,3.6C(30%)-6C,,416.0,429
90,3_6C_9PER_5C,3.6C(9%)-5C,,393.0,402
91,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8C(80%)-4.8C-newstructure,,777.0,796
92,5_2C_58PER_4C_NEWSTRUCTURE,5.2C(58%)-4C-newstructure,,904.0,934
93,5_6C_26PER_4_5C_NEWSTRUCTURE,5.6C(26%)-4.5C-newstructure,,791.0,807
94,4_8C_80PER_4_8C,4.8C(80%)-4.8C,,492.0,513
95,5_2C_50PER_4_25C,5.2C(50%)-4.25C,,449.0,465
96,4_65C_44PER_5C,4.65C(44%)-5C,,466.0,484
97,4_65C_69PER_6C,4.65C(69%)-6C,,460.0,475
98,3_6C_30PER_6C,3.6C(30%)-6C,,426.0,461
99,3_6C_9PER_5C,3.6C(9%)-5C,,396.0,411
100,4_8C_80PER_4_8C,4.8C(80%)-4.8C,,472.0,480
101,5_6C_26PER_4_5C,5.6C(26%)-4.5C,,471.0,476
102,5_2C_50PER_4_25C,5.2C(50%)-4.25C,,449.0,455
103,6C_60PER_3C,6C(60%)-3C,,392.0,399
104,5_2C_58PER_4C,5.2C(58%)-4C,,489.0,503
105,6C_60PER_3C,6C(60%)-3C,,408.0,414
106,4_8C_80PER_4_8C,4.8C(80%)-4.8C,,514.0,530
107,5_2C_58PER_4C,5.2C(58%)-4C,,493.0,506
108,5_6C_26PER_4_5C,5.6C(26%)-4.5C,,450.0,464
109,5_2C_50PER_4_25C,5.2C(50%)-4.25C,,474.0,489
110,4_8C_80PER_4_8C,4.8C(80%)-4.8C,,437.0,450
111,5_2C_58PER_4C,5.2C(58%)-4C,,452.0,464
112,5_6C_26PER_4_5C,5.6C(26%)-4.5C,,412.0,425
113,5_6C_26PER_4_5C,5.6C(26%)-4.5C,,425.0,440
114,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8C(80%)-4.8C-newstructure,,809.0,823
115,5_2C_58PER_4C_NEWSTRUCTURE,5.2C(58%)-4C-newstructure,,1140.0,1143
116,5_6C_26PER_4_5C_NEWSTRUCTURE,5.6C(26%)-4.5C-newstructure,,1186.0,1189
117,VARCHARGE_6C_100CYCLES,VarCharge-6C-100cycles,,nan,423
118,VARCHARGE_8C_100CYCLES,VarCharge-8C-100cycles,,nan,280
119,3_6C_9PER_5C_SLOWCYCLE,3.6C(9%)-5C(SLOWCYCLE,,nan,434
120,5_2C_58PER_4C_SLOWCYCLE,5.2C(58%)-4C(SLOWCYCLE,,nan,459
121,5_6C_26PER_4_5C,5.6C(26%)-4.5C,,442.0,457
122,5_2C_50PER_4_25C,5.2C(50%)-4.25C,,474.0,494
123,5_6C_26PER_4_5C_NEWSTRUCTURE,5.6C(26%)-4.5C-newstructure,,997.0,1015
124,4_8C_80PER_4_8C,4.8C(80%)-4.8C,,503.0,509
